2000;0.008664;-0.010660219;0.394623
1999;0.004135;-0.012447137;0.39516
1998;-0.000552;-0.012438758;0.395934
1997;-0.004805;-0.01082554;0.396931
1996;-0.008155;-0.007938711;0.398137
1995;-0.010034;-0.00401643;0.399529
1994;-0.010453;0.000144593;0.401085
1993;-0.009258;0.004091982;0.402778
1992;-0.006691;0.007311528;0.404574
1991;-0.003183;0.009272914;0.406438
1990;0.000804;0.0097479;0.408335
1989;0.004744;0.008743979;0.410219
1988;0.007986;0.006297039;0.412054
1987;0.010155;0.002696854;0.413798
1986;0.010873;-0.001409669;0.41541
1985;0.010019;-0.005724348;0.41686
1984;0.007561;-0.009513274;0.418114
1983;0.003893;-0.012249251;0.419141
1982;-0.000777;-0.013625864;0.419925
1981;-0.005746;-0.013290031;0.420447
1980;-0.010481;-0.011151729;0.420692
1979;-0.014398;-0.007455964;0.420654
1978;-0.016976;0.00246478;0.42033
1977;-0.017696;0.003375175;0.419719
1976;-0.016545;0.009274161;0.418833
1975;-0.013339;0.014724419;0.417683
1974;-0.008363;0.019028307;0.416286
1973;-0.002093;0.021576724;0.414674
1972;0.004931;0.02198172;0.412878
1971;0.01201;0.020160853;0.410934
1970;0.018253;0.015956175;0.408891
1969;0.023087;0.009838681;0.406796
1968;0.025827;-0.002342341;0.404695
1967;0.02601;-0.005990775;0.402645
1966;0.02356;-0.014102062;0.400691
1965;0.018599;-0.02123434;0.398878
1964;0.011343;-0.026612467;0.397254
1963;0.002728;-0.029522228;0.395854
1962;-0.006658;-0.029548173;0.394711
1961;-0.015763;-0.026688571;0.393858
1960;-0.023624;-0.020973743;0.393311
1959;-0.029428;-0.012973925;0.393085
1958;-0.032588;0.003477324;0.393188
1957;-0.032578;0.006685953;0.393616
1956;-0.029441;0.016497122;0.394353
1955;-0.023441;0.024889267;0.395382
1954;-0.015015;0.031180029;0.396666
1953;-0.005056;0.034615707;0.398168
1952;0.005522;0.034852258;0.399848
1951;0.015771;0.031938378;0.401653
1950;0.024734;0.026042049;0.403535
1949;0.031432;0.017712245;0.405448
1948;0.035541;0.007782031;0.407344
1947;0.036404;-0.00295827;0.409176
1946;0.034117;-0.013478605;0.410908
1945;0.028867;-0.022891686;0.412501
1944;0.021117;-0.030317538;0.413925
1943;0.011465;-0.035222002;0.415154
1942;0.00095;-0.037069829;0.416163
1941;-0.009718;-0.0358357;0.416939
1940;-0.019568;-0.031571666;0.41747
1939;-0.027665;-0.024682046;0.417749
