#Best run for each simulation of the study Legrain et al., (2023): A gradual change is more likely to have caused the Mid-Pleistocene Transition than an abrupt event;;;;;;;;
;;;;;;;;
Age (ka);ORB simulation Ice volume (m sl);ABR simulation Ice volume (m sl);GRAD simulation Ice volume (m sl);ABRkO simulation Ice volume (m sl);GRADkO simulation Ice volume (m sl);ABRag Ice volume (m sl);GRADag Ice volume (m sl);SYN simulation Ice volume (m sl)
1950;53.81161192;41.2269681;35.83511094;34.38599396;49.82904881;49.14015478;28.87726438;28.27463194
1949;53.08648371;40.36046192;30.28465432;35.19280732;50.63064135;48.6576593;28.03145701;29.60017503
1948;46.50035312;35.16713837;25.32225729;35.92451135;50.00447746;48.32002333;26.97868633;30.61207253
1947;39.41588132;30.66812369;20.99670479;36.58108184;44.05786057;41.57621573;25.8150877;31.25825746
1946;33.09525723;26.81406373;17.33047124;37.17075957;38.50673667;34.90918994;24.63405872;31.50055944
1945;27.61237004;23.51721833;14.30704157;37.70786392;33.39049969;29.47776238;23.50872092;31.33012047
1944;23.01608274;20.69321126;11.89870501;38.20747327;28.74433975;25.05300097;22.50299575;30.76854516
1943;19.32692438;18.27664881;10.07460278;38.68311579;24.58793004;21.45231917;21.67404085;29.85084804
1942;16.52350546;16.21304458;8.789567299;39.14634035;20.92340953;18.52610506;21.06250839;28.61631181
1941;14.92570132;14.44411078;7.962747013;39.60611687;17.73136837;16.65754916;20.67300808;27.10878554
1940;15.91247919;14.88243738;8.915292205;40.06845186;17.15400463;17.61580709;20.45799732;25.37737522
1939;17.17907337;15.69864971;10.29362335;40.53860398;17.13975876;18.53319035;20.34320634;23.47701074
1938;18.60456538;16.41229649;11.69440471;41.02360823;17.23011905;19.32565386;20.26234993;21.46789409
1937;20.09260792;16.95274391;13.02015917;41.53244334;17.44841851;19.90012275;20.15782171;19.41521692
1936;21.5608262;17.24917414;14.18042254;42.07465544;17.82290459;20.1630125;19.97790037;17.38655762
1935;22.94484752;17.27280309;15.11893106;42.65609127;18.3647469;20.07167707;19.69170403;15.43979369
1934;24.19142126;17.04872719;15.81744984;43.27714687;19.0583274;19.64940465;19.2897321;13.61847833
1933;25.23549272;16.62396311;16.26575419;43.93462863;19.86912868;18.94784627;18.76348276;11.95709828
1932;25.99372343;16.05721122;16.45249687;44.62234777;20.74644256;18.03502299;18.09925532;10.48203791
1931;26.36747292;15.41413199;16.36395896;45.33169596;21.62689459;16.98955959;17.27789935;9.212027595
1930;26.2923914;14.77105282;16.01060242;46.05399437;22.45204667;15.90289172;16.29788733;8.159095085
1929;25.80608959;14.22537119;15.46641244;46.78319912;23.18965157;14.88870241;15.20853607;7.33002755
1928;25.01789919;13.88139182;14.8456584;47.51568459;23.82940809;14.0671006;14.09217232;6.728973291
1927;24.06334999;13.8309188;14.26928539;48.24951566;24.37485771;13.54346958;13.037677;6.360403276
1926;23.1340235;14.26988565;13.94970438;48.97327689;24.78869406;13.55040936;12.18963899;6.229939896
1925;22.35002851;15.11280595;13.89982258;49.69845622;25.15253388;13.98472471;11.57007995;6.345721293
1924;21.81007841;16.22057785;14.09087349;50.44034513;25.56714385;14.67982407;11.17409911;6.708006714
1923;21.66637767;17.66929871;14.6477764;51.19521653;26.0372096;15.72832376;11.08852169;7.302930654
1922;22.00991451;19.40950593;15.59104449;51.96878869;26.61160041;17.0729964;11.33340304;8.110673347
1921;22.89293656;21.39288028;16.92268207;52.76466672;27.3236699;18.65958118;11.91219134;9.109063715
1920;24.33289051;23.57223332;18.62808837;53.58458065;28.19288706;20.43655253;12.813484;10.27613127
1919;26.27384978;25.88674801;20.64841418;54.42773602;29.21750452;22.33901801;13.98928836;11.59216771
1918;28.58681182;28.25793943;22.87830194;55.2912547;30.37691662;24.28377244;15.35388724;13.041055
1917;31.13265499;30.60226318;25.20425802;56.17236285;31.64974005;26.18168935;16.81564291;14.61014729
1916;33.78754462;32.83667197;27.52045228;57.06919467;33.02075275;27.9433431;18.28994724;16.29029847
1915;36.42120039;34.80673493;29.67551458;57.98690763;34.51137698;29.39264856;19.66685103;18.07355796
1914;38.96542018;36.52489897;31.64719704;58.91718935;36.07715092;30.55332996;20.91678057;19.9414118
1913;41.3657659;38.03990189;33.44143844;59.84883229;37.65945312;31.49251945;22.02777822;21.86051498
1912;43.5328336;39.2836555;34.97783092;60.78063069;39.24948672;32.13690204;22.93547652;23.78831347
1911;45.40402003;40.27686492;36.24163791;61.70384595;40.8008588;32.51980549;23.61549973;25.67436841
1910;46.92047052;41.04889313;37.22502577;62.60911667;42.26411987;32.68482202;24.04792368;27.46118027
1909;48.03515644;41.6337379;37.92854111;63.48740499;43.59244929;32.68039048;24.21966399;29.08561272
1908;48.74199047;42.0735216;38.37737959;64.33132457;44.75154321;32.56255289;24.13852296;30.4810879
1907;49.08185266;42.41581196;38.62256177;65.13591287;45.7240029;32.39114076;23.83517548;31.58143785
1906;49.12157727;42.70561269;38.72562821;65.8984982;46.50605132;32.22067185;23.35156692;32.32592163
1905;48.94493738;42.9837926;34.13476698;66.6190808;47.10715047;32.09767707;22.7371742;32.66311852
1904;48.63642413;43.28299279;29.24262896;67.30010298;47.54660784;32.05607289;22.04079992;32.56854989
1903;48.27390531;38.84080724;24.984547;60.35670593;47.84988543;32.11570667;21.30593805;32.05786787
1902;47.92792581;34.07120744;21.31726449;52.84356283;48.04819139;32.28116714;20.56975205;31.16854257
1901;47.65015797;29.89566006;18.18695158;46.23118607;48.17358942;32.54273649;19.85800492;29.94327076
1900;47.47578335;26.23969633;15.53540394;40.41503035;48.25632594;32.88395819;19.18800741;28.42854454
1899;47.43055904;23.03934073;13.30793449;35.30310073;48.32316055;33.29066522;18.57401422;26.67478029
1898;47.52544596;20.23934095;11.4502675;30.81406499;48.39512672;33.75072587;18.02452338;24.73685561
1897;47.76230472;17.79288564;9.911762726;26.87608796;48.4890772;34.25481958;17.54492133;22.67454088
1896;48.14326865;15.66227075;8.650289545;23.42585799;48.62004411;34.79832779;17.14204882;20.55183416
1895;48.66513118;13.81609668;7.627605965;20.40732372;48.79965945;35.37956573;16.82103885;18.43658962
1894;49.32473725;12.60000722;8.20700293;17.77101348;49.03805545;35.99950941;16.58755009;16.39785201
1893;50.12547786;13.39467618;9.164156898;15.93164531;49.34623865;36.66123135;16.45038401;14.49373505
1892;51.07044308;14.25652061;10.21034817;16.55008962;49.73434143;37.36779543;16.41775821;12.76679238
1891;52.16491265;15.19133875;11.34716999;17.19136579;50.21351082;38.11981104;16.49771792;11.24929873
1890;53.41550698;16.20089085;12.57501232;17.85896937;50.79616638;38.91365453;16.6971596;9.964266048
1889;54.81970288;17.27966606;13.88607772;18.55611893;51.49339416;39.73813515;17.01610844;8.925970421
1888;56.36762683;18.41440709;15.26509852;19.2858032;52.31559042;40.57399861;17.44825662;8.141008335
1887;58.0405994;19.5824037;16.687982;20.05056094;53.27179444;41.39243729;17.9794564;7.609886154
1886;59.80359251;20.75412399;18.12047501;20.85110947;54.36303442;42.15977399;18.58451209;7.329768602
1885;61.61082648;21.8981627;19.52372402;21.6862482;55.5821732;42.84305375;19.2313215;7.297604067
1884;63.40770819;22.98588411;20.85710707;22.5532284;56.91454037;43.41438508;19.88396152;7.508280367
1883;65.12715158;23.99534321;22.07840026;23.44744581;58.33529893;43.85539273;20.50260864;7.946436135
1882;66.69196475;24.91194374;23.14523476;24.36259383;59.81032068;44.15776022;21.04489323;8.592253362
1881;68.01745816;25.73232936;24.01849105;25.29057156;61.29562363;44.32757424;21.46844955;9.428367883
1880;69.02349376;26.46736185;24.66977145;26.22201967;62.74109231;44.38809536;21.73736172;10.43602266
1879;69.66966388;27.1479721;25.10208032;27.14771093;64.10138122;44.3851539;21.83960462;11.59589026
1878;69.96351828;27.82366785;25.35289343;28.05922946;65.34022508;44.38483084;21.79028145;12.88957278
1877;68.45579416;28.55493794;25.48204836;28.94888615;66.42841773;44.46495151;21.62236228;14.30089987
1876;59.94884894;29.40676595;25.57206645;29.81079482;65.95194007;44.70688536;21.3882777;15.81679408
1875;52.27013842;30.4403877;25.71976386;30.64129918;58.87728078;45.18588733;21.15411635;17.42691571
1874;45.44808641;31.68581029;26.00960568;31.44054302;52.41845883;45.93877257;20.98146596;19.12358996
1873;39.51544563;33.13153831;26.50550088;32.2132273;46.55455636;46.95170696;20.9221548;20.89947012
1872;34.49995104;34.74867157;27.26053728;32.96564807;41.27483911;48.18993195;21.0218111;22.7357717
1871;31.12934574;36.50588507;28.31797197;33.70328629;36.56406395;49.61672362;21.31752153;24.59800757
